train_loss,train_acc,val_loss,val_acc,lr
0.7601330543452121,0.6921708185053381,0.8104841974046495,0.7323943661971831,3e-06
0.39448997938463876,0.8416370106761566,0.7214279108577304,0.7323943661971831,3e-06
0.16249241130360476,0.9590747330960854,0.6101657450199127,0.7464788732394366,3e-06
0.11449780803279462,0.9644128113879004,0.507670650879542,0.7887323943661971,3e-06
0.11843341778871333,0.9697508896797153,0.43611583444807267,0.8591549295774648,3e-06
0.09392667196175837,0.9715302491103203,0.4021443724632263,0.8591549295774648,3e-06
0.13132533376395755,0.9661921708185054,0.3654666758245892,0.8591549295774648,3e-06
0.13453970156553868,0.9679715302491103,0.2833869904279709,0.9154929577464789,3e-06
0.10630886256859921,0.9733096085409253,0.22448569867346022,0.9577464788732394,3e-06
0.1264053986998975,0.9697508896797153,0.2472062094344033,0.9295774647887324,3e-06
0.09810368116723757,0.9786476868327402,0.19198804017570284,0.9577464788732394,3e-06
0.14095093706186781,0.9733096085409253,0.25446419831779266,0.9154929577464789,3e-06
0.09763835968263117,0.9804270462633452,0.18751578943596947,0.9577464788732394,3e-06
0.12754829821147104,0.9750889679715302,0.21710550040006638,0.9436619718309859,3e-06
0.0961150305670957,0.9804270462633452,0.14532565656635496,0.971830985915493,3e-06
0.11245033609786513,0.9661921708185054,0.1473613894648022,0.971830985915493,3e-06
0.07883711946064752,0.9786476868327402,0.1633648450175921,0.9577464788732394,3e-06
0.0632493288880825,0.9857651245551602,0.1278532710340288,0.971830985915493,3e-06
0.07713162571031613,0.9857651245551602,0.10676096710893843,0.971830985915493,3e-06
0.10657013688774793,0.9822064056939501,0.1257876811756028,0.971830985915493,3e-06
0.05424423529461013,0.9893238434163701,0.09775476612978512,0.9859154929577465,3e-06
0.04585223045185248,0.9911032028469751,0.09881856168309848,0.9859154929577465,3e-06
0.05572200080124721,0.9893238434163701,0.08836038410663605,0.9859154929577465,3e-06
0.06463359547151477,0.9893238434163701,0.08581062364909384,0.9859154929577465,3e-06
0.02320208304197567,0.9928825622775801,0.08810972629321946,0.9859154929577465,3e-06
0.038730817966258935,0.9911032028469751,0.07560538624723752,0.9859154929577465,3e-06
0.06316991342923725,0.9893238434163701,0.07521426760488087,0.9859154929577465,3e-06
0.019986165844726355,0.9893238434163701,0.07337133669190937,0.9859154929577465,3e-06
0.0375175076466242,0.9893238434163701,0.06455591134727001,0.9859154929577465,3e-06
